# Average Spectral response curve for IRAC 3.6 micron array
# Wave     Spectral Response
# microns  electrons / photon
3.790510        0.457452
3.793290        0.456758
3.796060        0.457039
3.798840        0.456935
3.801630        0.455430
3.804420        0.456229
3.807210        0.456531
3.810010        0.453616
3.812810        0.452377
3.815620        0.452048
3.818430        0.450314
3.821240        0.448742
3.824060        0.446387
3.826880        0.443584
3.829710        0.442513
3.832540        0.440935
3.835370        0.438375
3.838210        0.437427
3.841050        0.435503
3.843900        0.432058
3.846750        0.430655
3.849610        0.429729
3.852470        0.428302
3.855330        0.428217
3.858200        0.428525
3.861070        0.429070
3.863950        0.430889
3.866830        0.433615
3.869720        0.436614
3.872610        0.439179
3.875500        0.441542
3.878400        0.443666
3.881300        0.445074
3.884210        0.445221
3.887120        0.444643
3.890040        0.441901
3.892960        0.436111
3.895890        0.426800
3.898810        0.413457
3.901750        0.397212
3.904690        0.376202
3.907630        0.350341
3.910580        0.322095
3.913530        0.290463
3.916480        0.256559
3.919440        0.222223
3.922410        0.188236
3.925380        0.156461
3.928350        0.127992
3.931330        0.102974
3.934310        0.081204
3.937300        0.062985
3.940290        0.048396
3.943290        0.036576
3.946290        0.027408
3.949290        0.020500
3.952300        0.015028
3.955320        0.010768
3.958340        0.007743
3.961360        0.005577
3.964390        0.003888
3.967420        0.002827
3.970460        0.002194
3.973500        0.001700
3.976550        0.001392
3.979600        0.001285
3.982660        0.001207
3.985720        0.001202
3.988790        0.001286
3.991860        0.001309
3.994930        0.001231
3.998010        0.001190
4.001100        0.001140
4.004190        0.001023
4.007280        0.000857
4.010380        0.000747
